date,open,high,low,close,MA,MA,Volume,Volume MA,OnBalanceVolume,RSI
2014-03-19T00:00:00Z,7734802235,7869878743,7623081068,7700140506,NaN,NaN,8512398.32,NaN,-50927719.95,57.70167354
2014-03-20T00:00:00Z,7688016497,7704363785,7290325724,7378309861,NaN,NaN,8512398.32,17958504.08,-59440118.27,50.72170804
2014-03-21T00:00:00Z,7380354491,7667153957,7002819347,7179602543,NaN,NaN,8512398.32,16100911.41,-67952516.59,46.94570866
2014-03-22T00:00:00Z,7180253366,7210747737,6808421665,7125487905,NaN,NaN,8512398.32,15695300.61,-76464914.91,45.94261986
2014-03-23T00:00:00Z,7131449724,7197063828,7034978541,7105506101,NaN,NaN,22428897.94,15985514.79,-98893812.86,45.55554997
2014-03-24T00:00:00Z,7047010198,7488890394,6897828465,7392286405,NaN,NaN,22428897.94,16275728.97,-76464914.91,51.82838869
2014-03-25T00:00:00Z,7398010773,7418267304,7182027218,7370657785,NaN,NaN,22428897.94,16565943.15,-98893812.86,51.34788444
2014-03-26T00:00:00Z,7370657785,7475956072,7129044534,7337887104,NaN,NaN,22428897.94,16856157.34,-121322710.8,50.5826883
2014-03-27T00:00:00Z,7339057658,7342298655,5882044199,5983834490,NaN,NaN,22428897.94,17146371.52,-143751608.7,30.41453434
2014-03-28T00:00:00Z,5998252793,6726227177,5908834586,6331280141,NaN,NaN,22428897.94,17436585.7,-121322710.8,37.32051968
2014-03-29T00:00:00Z,6334623694,6424337616,6144479542,6211737934,NaN,NaN,22428897.94,17453948.18,-143751608.7,35.99681747
2014-03-30T00:00:00Z,6227857687,6234121188,5518387668,5822876641,NaN,NaN,21953455.62,17447538.55,-165705064.4,32.01848138
2014-03-31T00:00:00Z,5823194690,6165372641,5544024138,5757067461,NaN,NaN,21953455.62,17441128.91,-187658520,31.38628255
2014-04-01T00:00:00Z,5757111237,6460911092,5719391696,6062811627,NaN,NaN,21953455.62,17434719.28,-165705064.4,37.55515686
2014-04-02T00:00:00Z,6065653443,6268614787,5440133972,5559342480,NaN,NaN,21953455.62,17428309.65,-187658520,32.39080237
2014-04-03T00:00:00Z,5558025323,5889649722,5261193217,5708178795,NaN,NaN,21953455.62,17421900.01,-165705064.4,35.22652902
2014-04-04T00:00:00Z,5707581172,5816265151,5449131893,5722348588,NaN,NaN,21953455.62,17415490.38,-143751608.7,35.50388111
2014-04-05T00:00:00Z,5692715843,5885917267,5580871845,5878817744,NaN,NaN,21953455.62,18087543.24,-121798153.1,38.62886888
2014-04-06T00:00:00Z,5894453846,5899649930,5709266777,5787169775,NaN,NaN,16504708.75,18487158.76,-138302861.9,37.48327405
2014-04-07T00:00:00Z,5834720114,5888878074,5656128846,5671751554,NaN,NaN,16504708.75,18886774.28,-154807570.6,36.03394473
2014-04-08T00:00:00Z,5671751554,5833458397,5658753424,5753123342,NaN,NaN,16504708.75,19286389.81,-138302861.9,37.85824875
2014-04-09T00:00:00Z,5753050244,5801396088,5548254155,5602451969,NaN,NaN,16504708.75,19686005.33,-154807570.6,35.82107607
2014-04-10T00:00:00Z,5602417281,5612218730,4513380845,4604046356,NaN,NaN,16504708.75,20085620.85,-171312279.4,25.88232919
2014-04-11T00:00:00Z,4605017262,5483929404,4307995943,5366814625,NaN,NaN,16504708.75,20485236.37,-154807570.6,39.65723134
2014-04-12T00:00:00Z,5366797990,5577380808,5247018640,5370704647,NaN,NaN,16504708.75,20189026.91,-138302861.9,39.7187622
2014-04-13T00:00:00Z,5402244756,5439963563,5046042079,5291306568,NaN,NaN,19421392.48,20038651.64,-157724254.4,38.84804014
2014-04-14T00:00:00Z,5291179481,6039781128,5183199608,5829913901,NaN,NaN,19421392.48,19888276.36,-138302861.9,47.2896737
2014-04-15T00:00:00Z,5847574800,6731700298,5760413210,6626085011,NaN,NaN,19421392.48,19737901.09,-118881469.4,56.78606793
