date,close
2019-03-01,122000000000.0
2019-03-02,122000000000.0
2019-03-03,121000000000.0
2019-03-04,118000000000.0
2019-03-05,124000000000.0
2019-03-06,125000000000.0
2019-03-07,125000000000.0
2019-03-08,123000000000.0
2019-03-09,126000000000.0
2019-03-10,126000000000.0
2019-03-11,124000000000.0
2019-03-12,125000000000.0
2019-03-13,125000000000.0
2019-03-14,125000000000.0
2019-03-15,128000000000.0
2019-03-16,131000000000.0
2019-03-17,130000000000.0
2019-03-18,130000000000.0
2019-03-19,131000000000.0
2019-03-20,132000000000.0
2019-03-21,130000000000.0
2019-03-22,130000000000.0
2019-03-23,131000000000.0
2019-03-24,131000000000.0
2019-03-25,128000000000.0
2019-03-26,128000000000.0
2019-03-27,133000000000.0
2019-03-28,133000000000.0
2019-03-29,135000000000.0
2019-03-30,135000000000.0
2019-03-31,136000000000.0
2019-04-01,137000000000.0
2019-04-02,161000000000.0
2019-04-03,163000000000.0
2019-04-04,160000000000.0
2019-04-05,167000000000.0
2019-04-06,167000000000.0
2019-04-07,172000000000.0
2019-04-08,173000000000.0
2019-04-09,170000000000.0
2019-04-10,173000000000.0
2019-04-11,162000000000.0
2019-04-12,164000000000.0
2019-04-13,163000000000.0
2019-04-14,167000000000.0
2019-04-15,162000000000.0
2019-04-16,167000000000.0
2019-04-17,168000000000.0
2019-04-18,170000000000.0
2019-04-19,171000000000.0
2019-04-20,171000000000.0
2019-04-21,168000000000.0
2019-04-22,171000000000.0
2019-04-23,172000000000.0
2019-04-24,168000000000.0
2019-04-25,158000000000.0
2019-04-26,159000000000.0
2019-04-27,160000000000.0
2019-04-28,159000000000.0
2019-04-29,157000000000.0
2019-04-30,164000000000.0
2019-05-01,165000000000.0
2019-05-02,166000000000.0
2019-05-03,173000000000.0
2019-05-04,174000000000.0
2019-05-05,172000000000.0
2019-05-06,173000000000.0
2019-05-07,172000000000.0
2019-05-08,177000000000.0
2019-05-09,179000000000.0
2019-05-10,184000000000.0
2019-05-11,208000000000.0
2019-05-12,201000000000.0
2019-05-13,219000000000.0
2019-05-14,231000000000.0
2019-05-15,245000000000.0
2019-05-16,238000000000.0
2019-05-17,223000000000.0
2019-05-18,219000000000.0
2019-05-19,244000000000.0
2019-05-20,238000000000.0
2019-05-21,239000000000.0
2019-05-22,228000000000.0
2019-05-23,234000000000.0
2019-05-24,239000000000.0
2019-05-25,241000000000.0
2019-05-26,258000000000.0
2019-05-27,263000000000.0
2019-05-28,263000000000.0
2019-05-29,263000000000.0
2019-05-30,250000000000.0
2019-05-31,260000000000.0
2019-06-01,260000000000.0
2019-06-02,265000000000.0
2019-06-03,247000000000.0
2019-06-04,235000000000.0
2019-06-05,239000000000.0
2019-06-06,240000000000.0
2019-06-07,246000000000.0
2019-06-08,243000000000.0
2019-06-09,233000000000.0
2019-06-10,245000000000.0
2019-06-11,243000000000.0
2019-06-12,251000000000.0
2019-06-13,252000000000.0
2019-06-14,261000000000.0
2019-06-15,266000000000.0
2019-06-16,269000000000.0
2019-06-17,278000000000.0
2019-06-18,270000000000.0
2019-06-19,277000000000.0
2019-06-20,281000000000.0
2019-06-21,299000000000.0
2019-06-22,312000000000.0
2019-06-23,313000000000.0
2019-06-24,318000000000.0
2019-06-25,332000000000.0
2019-06-26,353000000000.0
2019-06-27,307000000000.0
2019-06-28,335000000000.0
2019-06-29,329000000000.0
2019-06-30,299000000000.0
2019-07-01,296000000000.0
2019-07-02,302000000000.0
2019-07-03,325000000000.0
2019-07-04,306000000000.0
2019-07-05,304000000000.0
2019-07-06,309000000000.0
2019-07-07,316000000000.0
2019-07-08,333000000000.0
2019-07-09,336000000000.0
2019-07-10,320000000000.0
2019-07-11,298000000000.0
2019-07-12,310000000000.0
2019-07-13,300000000000.0
2019-07-14,267000000000.0
2019-07-15,280000000000.0
2019-07-16,245000000000.0
2019-07-17,254000000000.0
2019-07-18,278000000000.0
2019-07-19,275000000000.0
2019-07-20,283000000000.0
2019-07-21,279000000000.0
2019-07-22,272000000000.0
2019-07-23,261000000000.0
2019-07-24,261000000000.0
2019-07-25,264000000000.0
2019-07-26,264000000000.0
2019-07-27,253000000000.0
2019-07-28,255000000000.0
2019-07-29,255000000000.0
2019-07-30,257000000000.0
2019-07-31,268000000000.0
2019-08-01,274000000000.0
2019-08-02,275000000000.0
2019-08-03,281000000000.0
2019-08-04,284000000000.0
2019-08-05,302000000000.0
2019-08-06,292000000000.0
2019-08-07,302000000000.0
2019-08-08,299000000000.0
2019-08-09,294000000000.0
2019-08-10,284000000000.0
2019-08-11,291000000000.0
2019-08-12,287000000000.0
2019-08-13,277000000000.0
2019-08-14,254000000000.0
2019-08-15,260000000000.0
2019-08-16,260000000000.0
2019-08-17,257000000000.0
2019-08-18,263000000000.0
2019-08-19,275000000000.0
2019-08-20,270000000000.0
2019-08-21,256000000000.0
2019-08-22,258000000000.0
2019-08-23,264000000000.0
2019-08-24,258000000000.0
2019-08-25,257000000000.0
2019-08-26,261000000000.0
2019-08-27,258000000000.0
2019-08-28,245000000000.0
2019-08-29,240000000000.0
2019-08-30,241000000000.0
2019-08-31,242000000000.0
2019-09-01,245000000000.0
2019-09-02,259000000000.0
2019-09-03,263000000000.0
2019-09-04,261000000000.0
2019-09-05,261000000000.0
2019-09-06,255000000000.0
2019-09-07,260000000000.0
2019-09-08,260000000000.0
2019-09-09,258000000000.0
2019-09-10,254000000000.0
2019-09-11,254000000000.0
2019-09-12,259000000000.0
2019-09-13,258000000000.0
2019-09-14,260000000000.0
2019-09-15,259000000000.0
2019-09-16,260000000000.0
2019-09-17,262000000000.0
2019-09-18,264000000000.0
2019-09-19,266000000000.0
2019-09-20,263000000000.0
2019-09-21,259000000000.0
2019-09-22,258000000000.0
2019-09-23,248000000000.0
2019-09-24,216000000000.0
2019-09-25,216000000000.0
2019-09-26,207000000000.0
2019-09-27,211000000000.0
2019-09-28,212000000000.0
2019-09-29,208000000000.0
2019-09-30,216000000000.0
2019-10-01,215000000000.0
2019-10-02,217000000000.0
2019-10-03,212000000000.0
2019-10-04,212000000000.0
2019-10-05,212000000000.0
2019-10-06,206000000000.0
2019-10-07,216000000000.0
2019-10-08,216000000000.0
2019-10-09,226000000000.0
2019-10-10,225000000000.0
2019-10-11,216000000000.0
2019-10-12,218000000000.0
2019-10-13,218000000000.0
2019-10-14,221000000000.0
2019-10-15,216000000000.0
2019-10-16,211000000000.0
2019-10-17,214000000000.0
2019-10-18,211000000000.0
2019-10-19,211000000000.0
2019-10-20,217000000000.0
2019-10-21,217000000000.0
2019-10-22,212000000000.0
2019-10-23,199000000000.0
2019-10-24,199000000000.0
2019-10-25,228000000000.0
2019-10-26,238000000000.0
2019-10-27,246000000000.0
2019-10-28,239000000000.0
2019-10-29,246000000000.0
2019-10-30,239000000000.0
2019-10-31,238000000000.0
2019-11-01,240000000000.0
2019-11-02,242000000000.0
2019-11-03,240000000000.0
2019-11-04,245000000000.0
2019-11-05,245000000000.0
2019-11-06,246000000000.0
2019-11-07,242000000000.0
2019-11-08,232000000000.0
2019-11-09,233000000000.0
2019-11-10,239000000000.0
2019-11-11,232000000000.0
2019-11-12,234000000000.0
2019-11-13,233000000000.0
2019-11-14,230000000000.0
2019-11-15,225000000000.0
2019-11-16,226000000000.0
2019-11-17,227000000000.0
2019-11-18,218000000000.0
2019-11-19,216000000000.0
2019-11-20,215000000000.0
2019-11-21,202000000000.0
2019-11-22,193000000000.0
2019-11-23,195000000000.0
2019-11-24,183000000000.0
2019-11-25,188000000000.0
2019-11-26,190000000000.0
2019-11-27,198000000000.0
2019-11-28,196000000000.0
2019-11-29,204000000000.0
2019-11-30,199000000000.0
2019-12-01,196000000000.0
2019-12-02,193000000000.0
2019-12-03,193000000000.0
2019-12-04,190000000000.0
2019-12-05,195000000000.0
2019-12-06,198000000000.0
2019-12-07,197000000000.0
2019-12-08,199000000000.0
2019-12-09,194000000000.0
2019-12-10,191000000000.0
2019-12-11,190000000000.0
2019-12-12,190000000000.0
2019-12-13,192000000000.0
2019-12-14,187000000000.0
2019-12-15,188000000000.0
2019-12-16,181000000000.0
2019-12-17,172000000000.0
2019-12-18,188000000000.0
2019-12-19,184000000000.0
2019-12-20,186000000000.0
2019-12-21,184000000000.0
2019-12-22,193000000000.0
2019-12-23,188000000000.0
2019-12-24,187000000000.0
2019-12-25,185000000000.0
2019-12-26,185000000000.0
2019-12-27,186000000000.0
2019-12-28,188000000000.0
2019-12-29,191000000000.0
2019-12-30,187000000000.0
2019-12-31,185000000000.0
2020-01-01,186000000000.0
2020-01-02,180000000000.0
2020-01-03,190000000000.0
2020-01-04,191000000000.0
2020-01-05,191000000000.0
2020-01-06,204000000000.0
2020-01-07,210000000000.0
2020-01-08,207000000000.0
2020-01-09,202000000000.0
2020-01-10,213000000000.0
2020-01-11,209000000000.0
2020-01-12,214000000000.0
2020-01-13,212000000000.0
2020-01-14,237000000000.0
2020-01-15,237000000000.0
2020-01-16,234000000000.0
2020-01-17,240000000000.0
2020-01-18,240000000000.0
2020-01-19,234000000000.0
2020-01-20,233000000000.0
2020-01-21,236000000000.0
2020-01-22,235000000000.0
2020-01-23,226000000000.0
2020-01-24,227000000000.0
2020-01-25,224000000000.0
2020-01-26,232000000000.0
2020-01-27,240000000000.0
2020-01-28,252000000000.0
2020-01-29,249000000000.0
2020-01-30,257000000000.0
2020-01-31,252000000000.0
2020-02-01,254000000000.0
2020-02-02,254000000000.0
2020-02-03,254000000000.0
2020-02-04,252000000000.0
2020-02-05,266000000000.0
2020-02-06,271000000000.0
2020-02-07,274000000000.0
2020-02-08,278000000000.0
2020-02-09,285000000000.0
2020-02-10,278000000000.0
2020-02-11,291000000000.0
2020-02-12,297000000000.0
