Country,Latitude,Longitude,Change in GDP (Year on Year),Change in Inflation Rate (Year on Year),Impact
New Zealand,-41.0,174.0,0.26836492,0.0949297979999999,Negative
Nicaragua,13.0,-85.0,1.7050718079999996,-1.6944764920000006,Positive
Norway,62.0,10.0,1.521770295,-0.8811451259999998,Negative
Pakistan,30.0,70.0,1.995127515,-0.8383686610000005,Negative
Panama,9.0,-80.0,20.536812843,-1.195191587,Negative
Papua New Guinea,-6.0,147.0,7.802370322,0.9430010770000004,Negative
Paraguay,-23.0,-58.0,0.13690940799999995,-0.9895813520000001,Negative
Peru,-10.0,-76.0,12.957605038,-0.31110072799999977,Negative
Philippines,13.0,122.0,15.461889997,0.15495026200000028,Negative
Poland,52.0,20.0,7.27351721,1.146990917,Negative
Portugal,39.5,-8.0,11.272324573999999,-0.35061674,Negative
Qatar,25.5,51.25,4.0942598729999995,-1.873673905,Negative
Romania,46.0,25.0,8.243018101,-1.196781214,Negative
Rwanda,-2.0,30.0,12.426106331,6.502522472999999,Negative
Samoa,-13.58,-172.33,7.107940805,-2.551239047,Negative
Saudi Arabia,25.0,45.0,4.2836631800000005,5.538791593,Negative
Senegal,14.0,-14.0,2.783838725,0.7888694700000001,Negative
Serbia,44.0,21.0,5.3069987240000005,-0.2736969439999999,Negative
Sierra Leone,8.5,-11.5,7.039288424,-1.356081269999999,Negative
Singapore,1.37,103.8,5.287621465,-0.747177236,Negative
Slovenia,46.0,15.0,7.298769807999999,-1.685379424,Negative
Solomon Islands,-8.0,159.0,5.334103882999999,1.3286944809999999,Negative
South Africa,-29.0,24.0,6.419784061,-0.9004656830000002,Negative
Spain,40.0,-4.0,12.591495048999999,-1.022207275,Negative
Sri Lanka,7.0,81.0,5.710821031,2.625551502,Negative
Sudan,15.0,30.0,0.2298184339999998,99.3286724,Negative
Sweden,62.0,15.0,4.604558793,-1.2867836549999998,Negative
Switzerland,47.0,8.0,3.580769105,-1.0887611130000001,Negative
Thailand,15.0,100.0,8.310490349,-1.552665748,Negative
Togo,8.0,1.17,3.599011853,1.141642794,Negative
Trinidad and Tobago,11.0,-61.0,6.542227852,-0.40155659899999996,Negative
Tunisia,34.0,9.0,10.4133912,-1.0859241700000002,Negative
Turkey,39.0,35.0,1.123816838,-2.8978641199999995,Positive
Uganda,1.0,32.0,3.0952090959999996,0.9253284990000004,Negative
Ukraine,49.0,32.0,7.186802067,-5.154225362,Negative
United Arab Emirates,24.0,54.0,9.206604458000001,-0.14832203099999974,Negative
United Kingdom,54.0,-2.0,11.302967142,-0.748617897,Negative
United States,38.0,-97.0,5.676563436,-0.5786256790000002,Negative
Uruguay,-33.0,-56.0,6.173625176000001,1.874417652,Negative
Vietnam,16.0,106.0,4.021805805,0.42511069200000007,Negative
Zambia,-15.0,30.0,4.098918794,6.582268697,Negative
