date,fng_value,fng_classification
20/12/2021,25,Extreme Fear
21/12/2021,27,Fear
22/12/2021,45,Fear
23/12/2021,34,Fear
24/12/2021,41,Fear
25/12/2021,39,Fear
26/12/2021,37,Fear
27/12/2021,40,Fear
28/12/2021,41,Fear
29/12/2021,27,Fear
30/12/2021,22,Extreme Fear
