Date,Amount,Balance (BTC),Balance (USD),Profit 
15/01/2021 11:40,"+255 BTC (10,062,485.5 USD)","95,351.6512369 BTC","$3,762,645,521 @ $39,460.73","$2,378,507,188"
15/01/2021 11:36,+0.0001 BTC (3.95 USD),"95,096.6512369 BTC","$3,752,583,036 @ $39,460.73","$2,378,507,188"
15/01/2021 9:21,"+281 BTC (10,945,132 USD)","95,096.6511369 BTC","$3,704,076,155 @ $38,950.65","$2,330,000,311"
15/01/2021 8:35,"+557 BTC (21,510,495.67 USD)","94,815.6511369 BTC","$3,661,636,720 @ $38,618.48","$2,298,506,008"
12/01/2021 7:02,"-1,500.001 BTC (48,064,994.06 USD)","94,258.6511369 BTC","$3,020,358,991 @ $32,043.31","$1,678,738,775"
12/01/2021 6:53,"-1,500.001 BTC (48,064,994.06 USD)","95,758.6521369 BTC","$3,068,423,985 @ $32,043.31","$1,678,738,775"
12/01/2021 5:03,"-1,500.001 BTC (49,368,944.43 USD)","97,258.6531369 BTC","$3,201,035,894 @ $32,912.61","$1,763,285,690"
9/01/2021 19:25,+0.00002561 BTC (1.04 USD),"98,758.6541369 BTC","$3,998,112,593 @ $40,483.67","$2,510,993,444"
9/01/2021 11:36,"+630 BTC (25,243,121.35 USD)","98,758.65411129 BTC","$3,957,105,857 @ $40,068.45","$2,469,986,709"
9/01/2021 11:15,"+480 BTC (19,232,854.36 USD)","98,128.65411129 BTC","$3,931,862,735 @ $40,068.45","$2,469,986,709"
9/01/2021 10:52,"+540 BTC (22,017,291.55 USD)","97,648.65411129 BTC","$3,981,405,346 @ $40,772.76","$2,538,762,175"
9/01/2021 10:40,"+150 BTC (6,115,914.32 USD)","97,108.65411129 BTC","$3,959,388,055 @ $40,772.76","$2,538,762,175"
8/01/2021 12:06,"+732 BTC (28,331,106.17 USD)","96,958.65411129 BTC","$3,752,658,366 @ $38,703.7","$2,338,148,400"
8/01/2021 11:56,"+315 BTC (12,191,664.54 USD)","96,226.65411129 BTC","$3,724,327,260 @ $38,703.7","$2,338,148,400"
8/01/2021 11:48,"+919 BTC (35,568,697.5 USD)","95,911.65411129 BTC","$3,712,135,596 @ $38,703.7","$2,338,148,400"
8/01/2021 11:30,+0.00007735 BTC (2.99 USD),"94,992.65411129 BTC","$3,676,566,898 @ $38,703.7","$2,338,148,400"
8/01/2021 10:39,"+506 BTC (19,969,030.23 USD)","94,992.65403394 BTC","$3,748,836,324 @ $39,464.49","$2,410,417,829"
8/01/2021 10:21,"+160 BTC (6,314,317.86 USD)","94,486.65403394 BTC","$3,728,867,294 @ $39,464.49","$2,410,417,829"
8/01/2021 10:01,"+275 BTC (10,779,561.16 USD)","94,326.65403394 BTC","$3,697,454,314 @ $39,198.4","$2,385,319,167"
8/01/2021 9:51,"+1,380 BTC (54,093,797.83 USD)","94,051.65403394 BTC","$3,686,674,753 @ $39,198.4","$2,385,319,167"
8/01/2021 9:36,"+905 BTC (35,474,555.83 USD)","92,671.65403394 BTC","$3,632,580,955 @ $39,198.4","$2,385,319,167"
8/01/2021 9:26,"+1,310 BTC (51,349,909.54 USD)","91,766.65403394 BTC","$3,597,106,399 @ $39,198.4","$2,385,319,167"
8/01/2021 4:20,+0.00002545 BTC (1 USD),"90,456.65403394 BTC","$3,552,616,925 @ $39,274.25","$2,392,179,602"
7/01/2021 11:01,"+800 BTC (29,574,604.22 USD)","90,456.65400849 BTC","$3,344,024,677 @ $36,968.26","$2,183,587,355"
5/01/2021 14:51,"+490 BTC (15,342,709.1 USD)","89,656.65400849 BTC","$2,807,297,880 @ $31,311.65","$1,676,435,163"
5/01/2021 14:30,"+555 BTC (17,377,966.43 USD)","89,166.65400849 BTC","$2,791,955,171 @ $31,311.65","$1,676,435,163"
5/01/2021 14:10,"+1,701 BTC (53,261,118.73 USD)","88,611.65400849 BTC","$2,774,577,205 @ $31,311.65","$1,676,435,163"
5/01/2021 10:48,"+615 BTC (19,872,169.24 USD)","86,910.65400849 BTC","$2,808,297,927 @ $32,312.47","$1,763,417,004"
5/01/2021 10:21,"+610 BTC (19,710,606.88 USD)","86,295.65400849 BTC","$2,788,425,757 @ $32,312.47","$1,763,417,004"
5/01/2021 10:12,"+605 BTC (19,549,044.53 USD)","85,685.65400849 BTC","$2,768,715,150 @ $32,312.47","$1,763,417,004"
5/01/2021 10:02,"+400 BTC (12,924,988.12 USD)","85,080.65400849 BTC","$2,749,166,106 @ $32,312.47","$1,763,417,004"
4/01/2021 20:50,+0.0000477 BTC (1.44 USD),"84,680.65400849 BTC","$2,555,951,817 @ $30,183.42","$1,583,127,703"
3/01/2021 12:30,"+306 BTC (10,017,854.54 USD)","84,680.65396079 BTC","$2,772,282,593 @ $32,738.09","$1,799,458,480"
3/01/2021 12:14,"+275 BTC (9,002,973.85 USD)","84,374.65396079 BTC","$2,762,264,738 @ $32,738.09","$1,799,458,480"
2/01/2021 19:31,+0.00000546 BTC (0.16 USD),"84,099.65396079 BTC","$2,506,120,988 @ $29,799.42","$1,552,317,704"
2/01/2021 5:24,+0.00002858 BTC (0.83 USD),"84,099.65395533 BTC","$2,444,352,096 @ $29,064.95","$1,490,548,812"
1/01/2021 12:06,"+276 BTC (8,107,582.13 USD)","84,099.65392675 BTC","$2,470,452,359 @ $29,375.3","$1,516,649,076"
1/01/2021 8:32,"+300 BTC (8,719,777.3 USD)","83,823.65392675 BTC","$2,436,411,982 @ $29,065.92","$1,490,716,281"
1/01/2021 6:44,"+280 BTC (8,107,216.63 USD)","83,523.65392675 BTC","$2,418,372,700 @ $28,954.35","$1,481,396,776"
1/01/2021 6:22,"+265 BTC (7,672,901.45 USD)","83,243.65392675 BTC","$2,410,265,484 @ $28,954.35","$1,481,396,776"
31/12/2020 19:16,+0.00000547 BTC (0.16 USD),"82,978.65392675 BTC","$2,397,672,222 @ $28,895.05","$1,476,476,416"
31/12/2020 14:38,"+270 BTC (7,842,299.42 USD)","82,978.65392128 BTC","$2,410,160,923 @ $29,045.55","$1,488,965,117"
31/12/2020 11:46,"+260 BTC (7,514,998.18 USD)","82,708.65392128 BTC","$2,390,597,629 @ $28,903.84","$1,477,244,123"
31/12/2020 11:25,"+250 BTC (7,225,959.79 USD)","82,448.65392128 BTC","$2,383,082,631 @ $28,903.84","$1,477,244,123"
31/12/2020 5:43,"+500 BTC (14,335,647.68 USD)","82,198.65392128 BTC","$2,356,741,884 @ $28,671.3","$1,458,129,336"
30/12/2020 16:16,"+986 BTC (27,731,975.9 USD)","81,698.65392128 BTC","$2,297,834,788 @ $28,125.74","$1,413,557,888"
29/12/2020 13:29,"+1,582 BTC (42,285,204.1 USD)","80,712.65392128 BTC","$2,157,364,757 @ $26,728.95","$1,300,819,832"
28/12/2020 14:58,"+936 BTC (25,371,235.85 USD)","79,130.65392128 BTC","$2,144,917,183 @ $27,106.02","$1,330,657,463"
22/12/2020 13:50,"+2,417 BTC (55,266,108.72 USD)","78,194.65392128 BTC","$1,787,966,175 @ $22,865.58","$999,077,690"
21/12/2020 19:56,"-1.00188902 BTC (23,710.22 USD)","75,777.65392128 BTC","$1,793,317,204 @ $23,665.51","$1,059,694,828"
19/12/2020 12:10,"+13 BTC (300,098.26 USD)","75,778.6558103 BTC","$1,749,310,970 @ $23,084.48","$1,015,664,884"
19/12/2020 6:40,"+1.00063394 BTC (22,757.41 USD)","75,765.6558103 BTC","$1,723,138,050 @ $22,743","$989,792,062"
18/12/2020 12:31,"+1,357 BTC (31,356,782.4 USD)","75,764.65517636 BTC","$1,750,726,460 @ $23,107.43","$1,017,403,229"
15/12/2020 12:38,+0.0001 BTC (1.95 USD),"74,407.65517636 BTC","$1,450,202,267 @ $19,489.96","$748,235,819"
13/12/2020 12:06,"+31 BTC (582,337.71 USD)","74,407.65507636 BTC","$1,397,754,308 @ $18,785.09","$695,787,862"
12/12/2020 12:05,"+1,579 BTC (28,908,364.28 USD)","74,376.65507636 BTC","$1,361,689,322 @ $18,308.02","$660,305,213"
9/12/2020 13:02,"+500 BTC (9,113,777.48 USD)","72,797.65507636 BTC","$1,326,923,259 @ $18,227.55","$654,447,515"
9/12/2020 11:30,+0.00000547 BTC (0.1 USD),"72,297.65507636 BTC","$1,318,663,370 @ $18,239.37","$655,301,404"
9/12/2020 7:28,"+500 BTC (9,378,765.03 USD)","72,297.65507089 BTC","$1,356,125,439 @ $18,757.53","$692,763,472"
9/12/2020 6:22,+0.00001 BTC (0.19 USD),"71,797.65507089 BTC","$1,348,441,385 @ $18,781.13","$694,458,184"
8/12/2020 12:34,"+500 BTC (9,600,190.97 USD)","71,797.65506089 BTC","$1,378,542,399 @ $19,200.38","$724,559,198"
6/12/2020 12:27,"+92 BTC (1,771,299.07 USD)","71,297.65506089 BTC","$1,372,711,628 @ $19,253.25","$728,328,618"
5/12/2020 12:07,"+246 BTC (4,614,296.5 USD)","71,205.65506089 BTC","$1,335,626,037 @ $18,757.3","$693,014,326"
4/12/2020 10:39,"+500 BTC (9,734,142.9 USD)","70,959.65506089 BTC","$1,381,462,845 @ $19,468.29","$743,465,430"
30/11/2020 12:15,"+114 BTC (2,109,629.83 USD)","70,459.65506089 BTC","$1,303,892,897 @ $18,505.52","$675,629,626"
29/11/2020 12:19,"+298 BTC (5,257,582.27 USD)","70,345.65506089 BTC","$1,241,100,902 @ $17,642.89","$614,947,260"
27/11/2020 12:53,"+63 BTC (1,086,943.83 USD)","70,047.65506089 BTC","$1,208,537,566 @ $17,253.08","$587,641,506"
27/11/2020 4:55,"+500 BTC (8,350,850.23 USD)","69,984.65506089 BTC","$1,168,862,745 @ $16,701.7","$549,053,629"
26/11/2020 12:26,"+500 BTC (9,324,990.43 USD)","69,484.65506089 BTC","$1,295,887,488 @ $18,649.98","$684,429,222"
26/11/2020 12:04,"+49 BTC (922,655.82 USD)","68,984.65506089 BTC","$1,298,961,094 @ $18,829.71","$696,827,819"
26/11/2020 9:13,"+500 BTC (9,398,134.4 USD)","68,935.65506089 BTC","$1,295,733,102 @ $18,796.27","$694,522,483"
25/11/2020 9:38,"+500 BTC (9,566,955.08 USD)","68,435.65506089 BTC","$1,309,441,675 @ $19,133.91","$717,629,190"
24/11/2020 12:55,"+257 BTC (4,735,742.87 USD)","67,935.65506089 BTC","$1,251,851,340 @ $18,427.02","$669,605,810"
23/11/2020 12:42,"+634 BTC (11,581,427.27 USD)","67,678.65506089 BTC","$1,236,301,927 @ $18,267.24","$658,792,140"
22/11/2020 12:04,"+791 BTC (14,651,013.42 USD)","67,044.65506089 BTC","$1,241,810,545 @ $18,522.14","$675,882,185"
21/11/2020 12:03,"+341 BTC (6,423,177.78 USD)","66,253.65506089 BTC","$1,247,973,622 @ $18,836.3","$696,696,276"
20/11/2020 12:23,"+114 BTC (2,047,747.18 USD)","65,912.65506089 BTC","$1,183,968,892 @ $17,962.69","$639,114,723"
19/11/2020 12:29,"+500 BTC (8,975,498.68 USD)","65,798.65506089 BTC","$1,181,151,484 @ $17,951","$638,345,062"
19/11/2020 12:10,"+1,159 BTC (20,805,205.95 USD)","65,298.65506089 BTC","$1,172,175,985 @ $17,951","$638,345,062"
18/11/2020 12:07,"+1,734 BTC (30,678,684.16 USD)","64,139.65506089 BTC","$1,134,786,747 @ $17,692.44","$621,761,030"
17/11/2020 12:07,"+146 BTC (2,439,518.6 USD)","62,405.65506089 BTC","$1,042,738,058 @ $16,709.03","$560,391,025"
15/11/2020 18:09,"+606 BTC (9,748,328.05 USD)","62,259.65506089 BTC","$1,001,530,597 @ $16,086.35","$521,623,083"
14/11/2020 14:02,+0.00000547 BTC (0.09 USD),"61,653.65506089 BTC","$999,642,126 @ $16,213.83","$529,482,940"
14/11/2020 12:09,"+355 BTC (5,767,311.87 USD)","61,653.65505542 BTC","$1,001,622,132 @ $16,245.95","$531,462,946"
9/11/2020 12:29,"+30 BTC (465,838.91 USD)","61,298.65505542 BTC","$951,843,284 @ $15,527.96","$487,451,410"
8/11/2020 12:15,"+272 BTC (4,097,698.3 USD)","61,268.65505542 BTC","$923,016,411 @ $15,065.07","$459,090,375"
7/11/2020 12:28,"+703 BTC (11,008,873.84 USD)","60,996.65505542 BTC","$955,198,407 @ $15,659.85","$495,370,070"
6/11/2020 15:22,+0.00003333 BTC (0.52 USD),"60,293.65505542 BTC","$939,605,186 @ $15,583.82","$490,785,723"
6/11/2020 12:26,"+733 BTC (11,564,975.21 USD)","60,293.65502209 BTC","$951,288,712 @ $15,777.59","$502,469,249"
3/11/2020 12:15,"+285 BTC (3,874,340.39 USD)","59,560.65502209 BTC","$809,678,075 @ $13,594.18","$372,423,587"
2/11/2020 11:14,"+144 BTC (1,987,995.74 USD)","59,275.65502209 BTC","$818,331,594 @ $13,805.53","$384,951,447"
31/10/2020 11:14,"+44 BTC (599,672.51 USD)","59,131.65502209 BTC","$805,900,631 @ $13,628.92","$374,508,480"
31/10/2020 2:14,"+262 BTC (3,545,298.53 USD)","59,087.65502209 BTC","$799,554,872 @ $13,531.67","$368,762,393"
24/10/2020 13:34,+0.00000547 BTC (0.07 USD),"58,825.65502209 BTC","$764,581,844 @ $12,997.42","$337,334,664"
14/10/2020 11:57,+0.0000505 BTC (0.58 USD),"58,825.65501662 BTC","$674,565,788 @ $11,467.2","$247,318,608"
7/10/2020 20:26,+0.00000547 BTC (0.06 USD),"58,825.65496612 BTC","$623,623,292 @ $10,601.21","$196,376,113"
24/09/2020 18:27,+0.00000547 BTC (0.06 USD),"58,825.65496065 BTC","$606,889,327 @ $10,316.75","$179,642,147"
12/09/2020 10:08,+0.00000547 BTC (0.06 USD),"58,825.65495518 BTC","$610,026,493 @ $10,370.08","$182,779,314"
9/09/2020 10:02,"+2,057 BTC (20,806,175.07 USD)","58,825.65494971 BTC","$595,010,635 @ $10,114.82","$167,763,455"
30/08/2020 22:17,+0.00000547 BTC (0.06 USD),"56,768.65494971 BTC","$659,992,632 @ $11,626","$253,551,628"
30/08/2020 10:03,"+59 BTC (680,712.46 USD)","56,768.65494424 BTC","$654,968,323 @ $11,537.5","$248,527,318"
28/08/2020 10:08,"+43 BTC (488,436.84 USD)","56,709.65494424 BTC","$644,164,755 @ $11,359","$238,404,463"
27/08/2020 14:18,+0.0000111 BTC (0.13 USD),"56,666.65494424 BTC","$644,570,823 @ $11,374.78","$239,298,968"
27/08/2020 10:04,"+140 BTC (1,606,484.07 USD)","56,666.65493314 BTC","$650,243,417 @ $11,474.89","$244,971,562"
25/08/2020 0:40,"+19 BTC (223,302.04 USD)","56,526.65493314 BTC","$664,343,033 @ $11,752.74","$260,677,662"
23/08/2020 10:25,"+357 BTC (4,155,835.06 USD)","56,507.65493314 BTC","$657,805,304 @ $11,640.99","$254,363,235"
22/08/2020 10:04,"+89 BTC (1,021,252.18 USD)","56,150.65493314 BTC","$644,314,369 @ $11,474.74","$245,028,136"
21/08/2020 10:19,"+52 BTC (615,242.66 USD)","56,061.65493314 BTC","$663,298,498 @ $11,831.59","$265,033,516"
20/08/2020 11:01,"+745 BTC (8,784,021.82 USD)","56,009.65493314 BTC","$660,389,304 @ $11,790.63","$262,739,565"
20/08/2020 6:35,+0.00000547 BTC (0.06 USD),"55,264.65493314 BTC","$648,491,235 @ $11,734.29","$259,625,518"
19/08/2020 10:16,+0.00000547 BTC (0.07 USD),"55,264.65492767 BTC","$663,254,198 @ $12,001.42","$274,388,481"
19/08/2020 10:10,"+715 BTC (8,581,013.53 USD)","55,264.6549222 BTC","$663,254,198 @ $12,001.42","$274,388,481"
18/08/2020 10:16,"+549 BTC (6,784,361.81 USD)","54,549.6549222 BTC","$674,106,732 @ $12,357.67","$293,822,028"
13/08/2020 18:27,+0.00000547 BTC (0.06 USD),"54,000.6549222 BTC","$614,718,398 @ $11,383.54","$241,218,056"
10/08/2020 10:02,"+214 BTC (2,517,869.48 USD)","54,000.65491673 BTC","$635,357,948 @ $11,765.75","$261,857,606"
9/08/2020 10:17,"+178 BTC (2,091,293.86 USD)","53,786.65491673 BTC","$631,930,905 @ $11,748.84","$260,948,433"
9/08/2020 7:45,+0.00000547 BTC (0.06 USD),"53,608.65491673 BTC","$630,882,548 @ $11,768.3","$261,991,370"
7/08/2020 10:23,"+21 BTC (248,366.1 USD)","53,608.65491126 BTC","$634,027,266 @ $11,826.96","$265,136,088"
5/08/2020 10:13,"+209 BTC (2,334,858.82 USD)","53,587.65491126 BTC","$598,658,414 @ $11,171.57","$230,015,602"
4/08/2020 20:11,+0.00000547 BTC (0.06 USD),"53,378.65491126 BTC","$600,613,397 @ $11,251.94","$234,305,444"
4/08/2020 10:06,"+866 BTC (9,846,126.92 USD)","53,378.65490579 BTC","$606,897,241 @ $11,369.66","$240,589,288"
3/08/2020 10:07,"+31 BTC (345,493.76 USD)","52,512.65490579 BTC","$585,251,442 @ $11,144.96","$228,789,616"
24/07/2020 3:56,"-1,500.001 BTC (14,425,557.73 USD)","52,481.65490579 BTC","$504,717,759 @ $9,617.03","$148,601,426"
21/07/2020 13:02,+0.00033333 BTC (3.07 USD),"53,981.65590579 BTC","$497,882,032 @ $9,223.17","$127,340,142"
14/07/2020 23:17,"-1,500.001 BTC (13,850,009.56 USD)","53,981.65557246 BTC","$498,430,632 @ $9,233.33","$127,888,745"
1/07/2020 11:05,+0.0001097 BTC (1 USD),"55,481.65657246 BTC","$507,696,035 @ $9,150.7","$123,304,138"
9/06/2020 9:27,"-1,500.001 BTC (14,654,646.72 USD)","55,481.65646276 BTC","$542,042,355 @ $9,769.76","$157,650,459"
27/05/2020 7:30,"+117 BTC (1,034,812.37 USD)","56,981.65746276 BTC","$503,977,129 @ $8,844.55","$104,930,587"
26/05/2020 6:09,"+486 BTC (4,329,183.25 USD)","56,864.65746276 BTC","$506,538,112 @ $8,907.78","$108,526,382"
14/05/2020 6:14,"+34 BTC (316,513.43 USD)","56,378.65746276 BTC","$524,841,246 @ $9,309.22","$131,158,700"
13/05/2020 6:21,"+2,021 BTC (17,833,160.58 USD)","56,344.65746276 BTC","$497,181,259 @ $8,823.93","$103,815,226"
12/05/2020 6:30,"+438 BTC (3,781,434.11 USD)","54,323.65746276 BTC","$468,998,473 @ $8,633.41","$93,465,600"
11/05/2020 6:46,"+1,743 BTC (15,197,425.96 USD)","53,885.65746276 BTC","$469,835,507 @ $8,719.12","$98,084,069"
10/05/2020 6:29,"+2,864 BTC (27,553,407.38 USD)","52,142.65746276 BTC","$501,643,814 @ $9,620.6","$145,089,801"
9/05/2020 6:14,"+666 BTC (6,646,602.45 USD)","49,278.65746276 BTC","$491,795,264 @ $9,979.88","$162,794,658"
5/05/2020 6:26,"+855 BTC (7,619,021.58 USD)","48,612.65746276 BTC","$433,194,019 @ $8,911.14","$110,840,016"
4/05/2020 6:43,"+480 BTC (4,251,765.27 USD)","47,757.65746276 BTC","$423,029,894 @ $8,857.84","$108,294,913"
2/05/2020 6:29,"+945 BTC (8,268,626.3 USD)","47,277.65746276 BTC","$413,673,314 @ $8,749.87","$103,190,098"
1/05/2020 6:04,"+19 BTC (167,191.63 USD)","46,332.65746276 BTC","$407,706,974 @ $8,799.56","$105,492,385"
22/04/2020 7:57,"+772 BTC (5,310,364.38 USD)","46,313.65746276 BTC","$318,578,234 @ $6,878.71","$16,530,836"
22/04/2020 7:13,+0.00000547 BTC (0.04 USD),"45,541.65746276 BTC","$313,267,870 @ $6,878.71","$16,530,836"
16/04/2020 6:12,+0.00000777 BTC (0.05 USD),"45,541.65745729 BTC","$306,139,343 @ $6,722.18","$9,402,309"
16/04/2020 6:06,"+104 BTC (699,107 USD)","45,541.65744952 BTC","$306,139,343 @ $6,722.18","$9,402,309"
14/04/2020 6:14,"+1,153 BTC (7,856,705.18 USD)","45,437.65744952 BTC","$309,618,628 @ $6,814.14","$13,580,702"
13/04/2020 6:29,"+127 BTC (902,896.39 USD)","44,284.65744952 BTC","$314,838,247 @ $7,109.42","$26,657,026"
12/04/2020 6:25,"+1,116 BTC (7,576,040.99 USD)","44,157.65744952 BTC","$299,767,225 @ $6,788.57","$12,488,900"
11/04/2020 6:32,"+279 BTC (1,922,767.97 USD)","43,041.65744952 BTC","$296,627,671 @ $6,891.64","$16,925,387"
10/04/2020 6:10,"+551 BTC (3,993,505.25 USD)","42,762.65744952 BTC","$309,932,662 @ $7,247.74","$32,153,146"
8/04/2020 6:09,"+109 BTC (779,704.85 USD)","42,211.65744952 BTC","$301,950,773 @ $7,153.26","$28,164,762"
6/04/2020 6:19,"+256 BTC (1,732,773.13 USD)","42,102.65744952 BTC","$284,977,943 @ $6,768.65","$11,971,637"
4/04/2020 13:26,"-1,500.001 BTC (10,055,531.21 USD)","41,846.65744952 BTC","$280,526,726 @ $6,703.68","$9,253,194"
31/03/2020 7:17,"+130 BTC (844,432.26 USD)","43,346.65844952 BTC","$281,563,974 @ $6,495.63","$234,910"
29/03/2020 8:06,"+157 BTC (976,696.52 USD)","43,216.65844952 BTC","$268,850,700 @ $6,221","-$11,633,932"
23/03/2020 7:16,"+472 BTC (2,822,497.63 USD)","43,059.65844952 BTC","$257,491,068 @ $5,979.87","-$22,016,868"
22/03/2020 7:24,"+877 BTC (5,575,791.47 USD)","42,587.65844952 BTC","$270,763,857 @ $6,357.8","-$5,921,581"
21/03/2020 7:52,"+282 BTC (1,708,739.12 USD)","41,710.65844952 BTC","$252,739,837 @ $6,059.36","-$18,369,810"
19/03/2020 7:04,"+6 BTC (31,365.32 USD)","41,428.65844952 BTC","$216,570,531 @ $5,227.55","-$52,830,376"
18/03/2020 9:53,"+2,276 BTC (11,752,171.29 USD)","41,422.65844952 BTC","$213,886,721 @ $5,163.52","-$55,482,820"
15/03/2020 8:43,"+3,788 BTC (19,992,416.95 USD)","39,146.65844952 BTC","$206,609,376 @ $5,277.83","-$51,007,994"
13/03/2020 10:05,"+648 BTC (3,111,375.05 USD)","35,358.65844952 BTC","$169,774,765 @ $4,801.5","-$67,850,188"
12/03/2020 12:03,"+212 BTC (1,668,230.95 USD)","34,710.65844952 BTC","$273,138,655 @ $7,869.01","$38,625,077"
11/03/2020 7:18,"+542 BTC (4,339,703.52 USD)","34,498.65844952 BTC","$276,224,999 @ $8,006.83","$43,379,652"
9/03/2020 23:45,+0.000006 BTC (0.05 USD),"33,956.65844952 BTC","$266,098,222 @ $7,836.41","$37,592,578"
8/03/2020 7:41,+0.000251 BTC (2.23 USD),"33,956.65844352 BTC","$302,083,637 @ $8,896.15","$73,577,993"
8/03/2020 7:23,+0.000006 BTC (0.05 USD),"33,956.65819252 BTC","$302,083,635 @ $8,896.15","$73,577,993"
23/02/2020 8:57,"+529 BTC (5,126,379.82 USD)","33,956.65818652 BTC","$329,063,757 @ $9,690.7","$100,558,115"
21/02/2020 8:10,"+609 BTC (5,870,544.21 USD)","33,427.65818652 BTC","$322,230,780 @ $9,639.65","$98,851,518"
19/02/2020 8:05,"+38 BTC (384,539.26 USD)","32,818.65818652 BTC","$332,106,908 @ $10,119.45","$114,598,190"
18/02/2020 8:21,"+141 BTC (1,360,700.56 USD)","32,780.65818652 BTC","$316,345,105 @ $9,650.36","$99,220,927"
17/02/2020 8:49,"+258 BTC (2,525,313.38 USD)","32,639.65818652 BTC","$319,478,162 @ $9,788.04","$103,714,684"
16/02/2020 8:04,"+107 BTC (1,061,262.9 USD)","32,381.65818652 BTC","$321,172,452 @ $9,918.34","$107,934,288"
15/01/2020 8:52,"-3,000.002 BTC (26,389,720.3 USD)","32,274.65818652 BTC","$283,906,211 @ $8,796.57","$71,729,310"
19/12/2019 12:31,"-1.00679447 BTC (7,295.01 USD)","35,274.66018652 BTC","$255,592,449 @ $7,245.78","$17,025,827"
19/12/2019 11:37,"+672 BTC (4,877,271.32 USD)","35,275.66698099 BTC","$256,025,296 @ $7,257.84","$17,451,379"
19/12/2019 10:22,"+1.00397683 BTC (7,352.28 USD)","34,603.66698099 BTC","$253,408,069 @ $7,323.16","$19,711,423"
18/12/2019 9:51,"+781 BTC (5,152,319.77 USD)","34,602.66300416 BTC","$228,276,549 @ $6,597.08","-$5,412,744"
13/12/2019 8:06,"+329 BTC (2,379,796.26 USD)","33,821.66300416 BTC","$244,646,404 @ $7,233.42","$16,109,431"
11/12/2019 9:34,"+50 BTC (364,085.05 USD)","33,492.66300416 BTC","$243,883,557 @ $7,281.7","$17,726,380"
4/12/2019 23:33,+0.00000546 BTC (0.04 USD),"33,442.66300416 BTC","$247,115,411 @ $7,389.23","$21,322,319"
28/11/2019 10:21,"+915 BTC (6,892,823.52 USD)","33,442.6629987 BTC","$251,928,278 @ $7,533.14","$26,135,186"
25/11/2019 5:54,"+1,220.03 BTC (8,703,840.7 USD)","32,527.6629987 BTC","$232,056,259 @ $7,134.12","$13,155,990"
23/11/2019 11:26,"+1,250 BTC (9,016,168.98 USD)","31,307.6329987 BTC","$225,819,928 @ $7,212.94","$15,623,500"
1/11/2019 11:00,+0.00001095 BTC (0.1 USD),"30,057.6329987 BTC","$275,602,238 @ $9,169.13","$74,421,979"
25/10/2019 7:59,"+674 BTC (5,032,595.64 USD)","30,057.63298775 BTC","$224,433,105 @ $7,466.76","$23,252,846"
21/10/2019 7:13,"+73 BTC (601,122.88 USD)","29,383.63298775 BTC","$241,961,288 @ $8,234.56","$45,813,625"
19/10/2019 9:23,+0.00005005 BTC (0.4 USD),"29,310.63298775 BTC","$233,398,123 @ $7,962.92","$37,851,583"
19/10/2019 7:36,"+83 BTC (659,981.45 USD)","29,310.6329377 BTC","$233,065,954 @ $7,951.58","$37,519,414"
18/10/2019 9:59,"+82 BTC (663,373.43 USD)","29,227.6329377 BTC","$236,449,210 @ $8,089.92","$41,562,651"
17/10/2019 9:32,"+61 BTC (489,455.26 USD)","29,145.6329377 BTC","$233,860,384 @ $8,023.86","$39,637,199"
6/10/2019 8:10,"+139 BTC (1,134,483.86 USD)","29,084.6329377 BTC","$237,381,630 @ $8,161.75","$43,647,900"
5/10/2019 7:48,"+103 BTC (845,779.63 USD)","28,945.6329377 BTC","$237,685,696 @ $8,211.45","$45,086,450"
4/10/2019 17:37,+0.000062 BTC (0.51 USD),"28,842.6329377 BTC","$235,134,494 @ $8,152.32","$43,381,028"
3/10/2019 7:05,"+54 BTC (446,827.86 USD)","28,842.6328757 BTC","$238,660,962 @ $8,274.59","$46,907,496"
2/10/2019 6:20,"+159 BTC (1,330,399.88 USD)","28,788.6328757 BTC","$240,882,979 @ $8,367.29","$49,576,341"
1/10/2019 6:09,"+4 BTC (32,890.02 USD)","28,629.6328757 BTC","$235,407,281 @ $8,222.5","$45,431,043"
30/09/2019 6:10,"+231 BTC (1,857,002.21 USD)","28,625.6328757 BTC","$230,120,621 @ $8,038.97","$40,177,273"
29/09/2019 7:27,"+21 BTC (171,445.44 USD)","28,394.6328757 BTC","$231,815,735 @ $8,164.07","$43,729,389"
28/09/2019 6:25,"+68 BTC (554,382.99 USD)","28,373.6328757 BTC","$231,321,462 @ $8,152.69","$43,406,562"
27/09/2019 6:13,"+613 BTC (4,948,343.91 USD)","28,305.6328757 BTC","$228,492,669 @ $8,072.34","$41,132,152"
26/09/2019 6:17,"+957 BTC (8,166,135.93 USD)","27,692.6328757 BTC","$236,302,826 @ $8,533.06","$53,890,652"
25/09/2019 6:56,"+46 BTC (396,255.01 USD)","26,735.6328757 BTC","$230,307,141 @ $8,614.24","$56,061,104"
12/09/2019 19:34,+0.00001111 BTC (0.11 USD),"26,689.6328757 BTC","$271,096,151 @ $10,157.36","$97,246,368"
6/09/2019 13:30,"-1,000.001 BTC (10,683,460.64 USD)","26,689.63286459 BTC","$285,137,357 @ $10,683.45","$111,287,575"
5/09/2019 8:26,"-786.00011 BTC (8,316,135.29 USD)","27,689.63386459 BTC","$292,965,279 @ $10,580.32","$108,432,036"
3/09/2019 20:49,+0.00001 BTC (0.1 USD),"28,475.63397459 BTC","$296,613,947 @ $10,416.41","$103,764,569"
