,Date,Wallet Balance,BTC Buy/Sell (BTC)
175,2020-11-19,11811514841172175985,1659.0
176,2020-11-20,1183968892,114.0
177,2020-11-21,1247973622,341.0
178,2020-11-22,1241810545,791.0
179,2020-11-23,1236301927,634.0
180,2020-11-24,1251851340,257.0
181,2020-11-25,1309441675,500.0
182,2020-11-26,129588748812989610941295733102,1049.0
183,2020-11-27,12085375661168862745,563.0
184,2020-11-29,1241100902,298.0
185,2020-11-30,1303892897,114.0
186,2020-12-03,273138655,212.0
187,2020-12-04,299767225,1116.0
188,2020-12-05,468998473,438.0
189,2020-12-09,610026493,5.47e-06
190,2020-12-12,1361689322,1579.0
191,2020-12-13,1397754308,31.0
192,2020-12-15,1450202267,0.0001
193,2020-12-18,1750726460,1357.0
194,2020-12-19,17493109701723138050,14.00063394
195,2020-12-21,1793317204,-1.00188902
196,2020-12-22,1787966175,2417.0
197,2020-12-28,2144917183,936.0
198,2020-12-29,2157364757,1582.0
199,2020-12-30,2297834788,986.0
200,2020-12-31,23976722222410160923239059762923830826312356741884,1280.00000547
201,2021-01-01,2470452359243641198224183727002410265484,1121.0
202,2021-01-03,4232553069,5.47e-06
203,2021-01-11,6517278248,7.77e-06
204,2021-01-12,66110590456601648242,7.777e-05
205,2021-01-15,36380655333762645521375258303637040761553661636720,1093.00010547
206,2021-01-18,3364241106,0.00014116
207,2021-01-20,3447950484346861949934542271333441633813,1329.0
208,2021-01-21,34416637123415061656,1645.0
209,2021-01-22,3051744939302509015729402129862931143146,1473.0005
210,2021-01-28,3072763993,-1500.001
211,2021-01-29,35718784363289496869,-1500.00099453
212,2021-01-30,297023948831282780193586468648,-9700.017
213,2021-02-01,25061209882444352096,3.404e-05
214,2021-02-03,4610403463,1325.0
215,2021-02-06,41084971833940590756,1883.00000723
216,2021-02-10,5372619684,0.001
217,2021-02-11,65885416196591847463,184.00000777
218,2021-02-12,6512694555,7.77e-06
219,2021-02-14,3970326311,5.47e-06
220,2021-02-18,454997432945155390764417033380,3108.0
221,2021-02-19,454565091445209200884491028490,1755.0
